time,irradiance,h_sun,temp,wind
20160122:1710,0.0,0.0,6.51,1.6
20160122:1810,0.0,0.0,5.34,1.77
20160122:1910,0.0,0.0,5.37,1.5
20160122:2010,0.0,0.0,5.41,1.24
20160122:2110,0.0,0.0,5.45,0.98
20160122:2210,0.0,0.0,5.78,0.9
20160122:2310,0.0,0.0,6.11,0.82
20160123:0010,0.0,0.0,6.44,0.74
20160123:0110,0.0,0.0,6.19,0.63
20160123:0210,0.0,0.0,5.94,0.51
20160123:0310,0.0,0.0,5.69,0.39
20160123:0410,0.0,0.0,5.44,0.61
20160123:0510,0.0,0.0,5.18,0.84
20160123:0610,0.0,0.0,4.93,1.06
20160123:0710,0.0,0.0,5.7,1.46
20160123:0810,57.19,8.57,6.48,1.86
20160123:0910,174.57,16.02,7.25,2.26
20160123:1010,151.51,21.59,8.35,2.48
20160123:1110,525.76,24.76,9.44,2.7
20160123:1210,626.45,25.15,10.54,2.92
20160123:1310,651.36,22.72,10.44,2.63
20160123:1410,533.02,17.75,10.34,2.33
20160123:1510,327.75,10.76,10.24,2.03
20160123:1610,0.0,0.0,8.52,2.15
20160123:1710,0.0,0.0,6.81,2.28
20160123:1810,0.0,0.0,5.09,2.4
20160123:1910,0.0,0.0,3.95,2.2
20160123:2010,0.0,0.0,2.81,2.0
20160123:2110,0.0,0.0,1.67,1.81
20160123:2210,0.0,0.0,0.72,1.63
20160123:2310,0.0,0.0,-0.22,1.45
20160124:0010,0.0,0.0,-1.16,1.27
20160124:0110,0.0,0.0,-0.96,1.18
20160124:0210,0.0,0.0,-0.77,1.09
20160124:0310,0.0,0.0,-0.58,1.01
20160124:0410,0.0,0.0,-0.85,0.91
20160124:0510,0.0,0.0,-1.12,0.82
20160124:0610,0.0,0.0,-1.39,0.73
20160124:0710,0.0,0.0,0.12,0.71
20160124:0810,150.04,8.73,1.63,0.69
20160124:0910,513.41,16.2,3.14,0.68
20160124:1010,718.79,21.8,6.26,0.8
20160124:1110,785.18,24.99,9.37,0.93
20160124:1210,796.81,25.4,12.48,1.06
20160124:1310,730.0,22.96,12.38,1.11
20160124:1410,586.38,17.99,12.29,1.15
20160124:1510,360.27,10.99,12.19,1.2
20160124:1610,0.0,0.0,11.0,1.07
20160124:1710,0.0,0.0,9.81,0.94
20160124:1810,0.0,0.0,8.62,0.81
20160124:1910,0.0,0.0,6.9,1.01
20160124:2010,0.0,0.0,5.18,1.2
20160124:2110,0.0,0.0,3.46,1.39
20160124:2210,0.0,0.0,3.21,1.43
20160124:2310,0.0,0.0,2.96,1.48
20160125:0010,0.0,0.0,2.71,1.52
20160125:0110,0.0,0.0,3.31,1.61
20160125:0210,0.0,0.0,3.9,1.71
20160125:0310,0.0,0.0,4.49,1.81
20160125:0410,0.0,0.0,4.52,1.77
20160125:0510,0.0,0.0,4.56,1.74
20160125:0610,0.0,0.0,4.59,1.71
20160125:0710,0.0,0.0,5.75,1.49
20160125:0810,244.83,8.89,6.92,1.28
20160125:0910,520.67,16.39,8.08,1.06
20160125:1010,725.74,22.01,9.59,1.15
20160125:1110,791.87,25.22,11.1,1.25
20160125:1210,801.7,25.64,12.61,1.34
20160125:1310,730.25,23.21,12.37,1.2
20160125:1410,595.46,18.24,12.13,1.05
20160125:1510,362.91,11.23,11.89,0.91
